50 712  2400
100 786 2700
200 800 2500
300 815 2600
400 770 2400
500 771 2500
600 758 2300
700 760 2300
800 638 1100
900 720 1800
1000 665 1500
1200 355 340
1400 315 304
1600 310  317
1800 300  290
2000 270  270

